neighbourhood_cleansed, avg_rent, avg_buy
Innere Stadt, 24.10, 17548.21
Leopoldstadt, 21.69, 7153.37
Landstrasse, 18.84, 8193.18
Wieden, 16.49, 10511.99
Margareten, 15.07, 5803.69
Mariahilf, 16.58, 9899.72
Neubau, 17.44, 9655.26
Josefstadt, 17.58, 9281.75
Alsergrund, 20.05, 9555.97
Favoriten, 16.29, 5740.59
Simmering, 16.95, 5322.13
Meidling, 15.20, 5780.23
Hietzing, 15.83, 8201.80
Penzing, 16.94, 6646.13
Rudolfsheim-Fünfhaus, 16.15, 6610.07
Ottakring, 15.44, 5480.84
Hernals, 15.95, 6351.50
Währing, 15.81, 7916.98
Döbling, 17.68, 9237.35
Brigittenau, 19.02, 5303.23
Floridsdorf, 15.72, 6067.39
Donaustadt, 16.72, 6668.69
Liesing, 17.15, 5962.34
